,count,city,state
0,7,Karur, Tamil Nadu
1,5,Thane, Maharashtra
2,7,Vellore, Tamil Nadu
3,4,Cuddalore, Tamil Nadu
4,40,Coimbatore, Tamil Nadu
5,6,Perambalur, Tamil Nadu
6,29,Palladam, Tamil Nadu
7,4,Ramanathapuram, Tamil Nadu
8,4,Nagercoil, Tamil Nadu
9,4,Ariyalur, Tamil Nadu
10,5,Bhavani, Tamil Nadu
11,5,Lalgudi, Tamil Nadu
12,6,Sivakasi, Tamil Nadu
13,40,Madurai, Tamil Nadu
14,4,Kanchipuram, Tamil Nadu
15,5,Namakkal, Tamil Nadu
16,8,Tuticorin, Tamil Nadu
17,6,Virudunagar, Tamil Nadu
18,4,Tindivanam, Tamil Nadu
19,6,Avanashi, Tamil Nadu
20,6,Delhi, Delhi
21,7,Dharmapuri, Tamil Nadu
22,7,Thanjavur, Tamil Nadu
23,12,karaikal, Puducherry
24,7,Perundurai, Tamil Nadu
25,313,Chennai, Tamil Nadu
26,7,Kovilpatti, Tamil Nadu
27,6,Krishnagiri, Tamil Nadu
28,5,Attur, Tamil Nadu
29,6,Pudukkottai, Tamil Nadu
30,9,Kallakkurichchi, Tamil Nadu
31,21,Salem, Tamil Nadu
32,6,Kumbakonam, Tamil Nadu
33,12,Tiruchengodu, Tamil Nadu
34,17,Pondicherry, Puducherry
35,5,Udumalpet, Tamil Nadu
36,14,Tiruchirappalli, Tamil Nadu
37,37,Bangalore, Karnataka
38,38,Tirupur, Tamil Nadu
39,6,Singapore, Singapore
40,9,Erode, Tamil Nadu
41,9,Gudiyattam, Tamil Nadu
42,5,Villupuram, Tamil Nadu
43,6,Hosur, Tamil Nadu
44,16,Tirunelveli, Tamil Nadu
